R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_TD_pct,B_avg_TD_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,weight_class,Winner,age_diff,height_diff,reach_diff,strike_acc_diff,td_acc_diff,sub_att_diff
37.0,30.0,182.88,180.34,190.5,190.5,0.4714422607421875,0.6025,0.00094970703125,0.125,0.0,0.0625,Welterweight,Red,7.0,2.539999999999992,0.0,-0.13105773925781256,-0.12405029296875,-0.0625
34.0,28.0,170.18,172.72,177.8,177.8,0.4644473266601562,0.57926513671875,0.0007077026367187,0.2452392578125,0.001007080078125,0.346435546875,Bantamweight,Red,6.0,-2.539999999999992,0.0,-0.11481781005859382,-0.2445315551757813,-0.345428466796875
33.0,30.0,177.8,180.34,182.88,182.88,0.5243695449829102,0.423837890625,0.0097681427001953,0.5,0.1885719299316406,0.0869140625,Welterweight,Red,3.0,-2.539999999999992,0.0,0.10053165435791023,-0.4902318572998047,0.1016578674316406
35.0,32.0,190.5,195.58,198.12,203.2,0.5042236328125,0.53796875,0.3220947265625,0.5,0.0078125,0.0,Heavyweight,Red,3.0,-5.0800000000000125,-5.079999999999984,-0.03374511718749995,-0.1779052734375,0.0078125
27.0,26.0,185.42,182.88,185.42,195.58,0.55,0.54,0.8,0.0,0.5,0.0,Welterweight,Red,1.0,2.539999999999992,-10.160000000000025,0.010000000000000009,0.8,0.5
31.0,27.0,180.34,172.72,182.88,180.34,0.3606640625,0.685,0.551953125,0.5,0.56640625,0.0,Lightweight,Blue,4.0,7.6200000000000045,2.539999999999992,-0.32433593750000006,0.051953125000000044,0.56640625
28.0,41.0,190.5,185.42,205.74,182.88,0.7531640625,0.4618603515624999,0.5383984375,0.018834228515625,0.05859375,0.0726318359375,Middleweight,Red,-13.0,5.0800000000000125,22.860000000000014,0.2913037109375001,0.519564208984375,-0.0140380859375
36.0,31.0,180.34,177.8,193.04,187.96,0.4913665771484374,0.6097271004319191,0.0030923461914062,0.1075432485342025,0.193267822265625,1.2544159591197968,Lightweight,Blue,5.0,2.539999999999992,5.079999999999984,-0.11836052328348173,-0.10445090234279629,-1.0611481368541718
32.0,27.0,165.1,170.18,172.72,177.8,0.6619531249999999,0.4219140624999999,0.15521484375,0.584453125,1.716796875,1.0234375,Flyweight,Draw,5.0,-5.0800000000000125,-5.0800000000000125,0.2400390625,-0.42923828125,0.693359375
32.0,27.0,165.1,170.18,172.72,177.8,0.6619531249999999,0.4219140624999999,0.15521484375,0.584453125,1.716796875,1.0234375,Flyweight,Draw,5.0,-5.0800000000000125,-5.0800000000000125,0.2400390625,-0.42923828125,0.693359375
36.0,30.0,193.04,193.04,195.58,205.74,0.4712416505813599,0.5075000000000001,0.0012397766113281,0.25,0.00048828125,0.5,Heavyweight,Blue,6.0,0.0,-10.159999999999997,-0.036258349418640146,-0.2487602233886719,-0.49951171875
34.0,32.0,167.64,177.8,167.64,177.8,0.4287499999999999,0.66,0.47,0.5800000000000001,2.625,1.75,Featherweight,Red,2.0,-10.160000000000025,-10.160000000000025,-0.23125000000000012,-0.1100000000000001,0.875
37.0,35.0,172.72,170.18,177.8,175.26,0.4808171081542969,0.6214843750000001,0.0175421142578125,0.35421875,0.0039138793945312,0.8359375,Featherweight,Red,2.0,2.539999999999992,2.5400000000000205,-0.1406672668457032,-0.33667663574218754,-0.8320236206054688
21.0,34.0,185.42,177.8,187.96,185.42,0.415,0.4,0.165,0.0,1.0,0.0,Featherweight,Red,-13.0,7.619999999999976,2.5400000000000205,0.014999999999999958,0.165,1.0
32.0,31.0,172.72,170.18,180.34,172.72,0.3269140625,0.465,0.125,0.0,0.0390625,0.5,Lightweight,Red,1.0,2.539999999999992,7.6200000000000045,-0.13808593750000003,0.125,-0.4609375
32.0,27.0,187.96,185.42,193.04,190.5,0.86,0.42,0.0,0.66,0.0,3.0,LightHeavyweight,Red,5.0,2.5400000000000205,2.539999999999992,0.44,-0.66,-3.0
